product_id,customer_id,date,value
25,1,9/1/2019,1930.72
14,1,8/11/2019,2020.68
6,1,2/2/2021,1780.43
48,1,1/19/2021,415.83
12,1,1/26/2021,464.81
44,1,7/4/2020,1142.4
2,1,5/18/2019,1291.94
36,1,2/2/2018,484.3
41,1,2/21/2019,808.56
28,1,1/27/2020,1831.81
34,1,7/27/2018,1149.85
8,1,3/17/2019,592.48
48,1,6/19/2020,2474.66
42,2,4/22/2020,1656.94
34,2,6/9/2018,1627.92
8,2,7/7/2020,1523.46
38,2,5/29/2018,1432.74
30,2,1/3/2021,390.1
44,2,10/23/2018,2091.49
18,2,1/13/2019,1637.44
9,2,3/31/2018,1082.79
20,2,12/21/2019,1974.44
31,2,6/30/2020,1266.17
42,2,3/3/2020,2118.51
2,2,8/29/2019,772.32
46,2,6/16/2020,543.48
1,2,4/24/2018,2221.9
41,2,5/27/2020,546.88
49,2,9/22/2018,754.93
32,2,12/27/2019,952.1
9,3,5/23/2020,912.12
39,3,6/1/2019,392.97
35,3,9/3/2018,2115.37
21,3,9/24/2020,1959.51
29,3,8/15/2019,1917.01
20,3,3/7/2018,2387.13
25,3,3/5/2019,598.27
40,3,5/7/2019,588.65
49,3,9/22/2020,1566.29
17,3,9/29/2018,238.62
44,3,10/11/2018,2207.35
37,3,5/7/2020,1768.68
44,4,11/21/2020,1671.83
30,4,10/19/2018,2092.44
31,4,4/11/2020,1504.32
27,4,4/28/2018,506.26
30,4,7/24/2020,1749.89
20,4,6/15/2018,1092.62
41,4,3/9/2020,456.86
11,4,5/16/2018,433.82
19,4,1/12/2021,1607.26
14,4,11/19/2019,1709.04
50,4,1/17/2020,682.67
41,4,9/12/2018,745.71
5,4,12/14/2019,623.38
50,4,3/31/2020,865.6
11,5,5/5/2020,1405.17
8,5,5/16/2019,1469.15
10,5,1/8/2019,2252.32
3,5,5/10/2020,165.09
21,5,2/3/2021,274.9
40,5,3/30/2020,223.23
22,5,8/29/2020,1105.82
4,5,4/15/2018,292.49
16,5,11/29/2018,227.67
6,5,7/11/2018,555.22
45,5,11/17/2020,1607.46
8,5,4/18/2018,667.83
36,5,10/3/2019,1651.62
3,5,3/6/2020,2334.07
13,5,3/9/2018,791.52
31,6,1/13/2019,1701.72
48,6,10/19/2019,232.97
10,6,8/27/2019,229.52
26,6,10/31/2018,739.1
27,6,2/5/2021,116.52
13,6,6/15/2020,134.49
41,6,7/14/2020,863.5
11,6,4/9/2018,2466.24
26,6,8/7/2020,2468.37
21,6,1/17/2018,2460.6
50,6,12/12/2018,1860.27
5,6,3/14/2018,547.5
38,6,6/18/2018,1132.79
18,6,8/5/2020,1679.22
24,6,5/3/2018,1348
21,6,10/3/2019,1017.98
30,6,4/12/2020,356.16
33,6,9/14/2019,1098.24
26,6,12/9/2019,910.17
17,6,3/18/2019,2112.89
23,6,1/2/2018,1278.41
19,6,5/29/2019,2070.01
3,7,7/1/2020,1008.84
23,7,6/25/2018,1267.01
19,7,7/25/2018,1700.67
31,7,7/16/2020,631.83
13,7,3/25/2018,1188.91
8,7,12/16/2020,2193.9
8,7,6/17/2018,981.98
49,7,7/4/2018,1568.32
19,7,1/22/2019,1856.53
47,7,6/10/2020,647.84
31,8,9/13/2020,791.09
40,8,12/14/2019,2220.16
23,8,1/30/2019,1408.69
27,8,4/15/2019,2262.16
1,8,5/28/2019,2222.3
45,8,9/24/2018,475.55
28,8,10/22/2020,539.76
8,8,7/23/2019,2243.38
16,8,9/9/2019,2090.89
16,8,9/8/2018,182.51
28,8,9/5/2018,606.34
15,8,4/11/2019,1029.59
6,8,5/12/2019,295.56
34,9,1/31/2020,1932.9
28,9,7/25/2019,2433.87
19,9,10/28/2020,1522.65
37,9,1/12/2021,256.66
46,9,9/23/2019,1846.55
15,9,5/6/2019,100.36
40,9,11/5/2018,974.05
9,9,9/11/2020,2107.15
2,9,7/9/2020,1795.51
22,9,12/11/2018,797.98
31,9,12/27/2020,1738.73
1,9,1/16/2021,430.62
40,9,4/19/2019,1255.83
34,9,7/10/2018,938.14
21,9,5/29/2019,1477.1
31,9,1/26/2020,465.4
34,9,8/4/2018,1034.13
18,9,8/8/2019,1801.6
1,10,9/8/2018,377.95
32,10,4/19/2020,1553.3
32,10,2/7/2019,188.5
48,10,1/11/2019,1133.22
36,10,8/15/2018,684.26
30,10,1/24/2019,934.75
40,10,3/16/2020,2191.93
17,10,6/7/2018,44.28
4,10,6/25/2019,1682.63
38,11,10/1/2019,76.26
38,11,8/23/2018,76.1
41,11,11/28/2018,1299.09
20,11,8/30/2019,623.58
34,11,8/3/2020,898.86
22,11,1/5/2020,1130.43
47,11,12/21/2019,602.33
45,11,2/21/2019,311.56
4,11,6/16/2019,584.34
36,11,8/28/2019,330.13
39,11,3/15/2018,2057
3,11,5/4/2020,129.29
24,11,7/27/2020,211.91
42,11,1/12/2020,2256.61
10,11,4/10/2018,2369.35
32,12,11/15/2018,1080.94
10,12,12/30/2020,334.23
32,12,12/21/2018,1122.39
9,12,8/23/2019,1304.84
3,12,5/28/2020,629.02
25,12,1/4/2019,2345.97
47,12,10/7/2019,1634.61
22,12,8/12/2019,1561.14
5,12,7/3/2020,1990.01
40,12,7/29/2019,1650.24
3,12,9/14/2019,1465.66
4,12,12/8/2018,2008.96
21,12,8/12/2019,1306.94
46,12,11/8/2019,95.63
50,12,3/3/2018,659.66
15,12,12/20/2020,364.2
28,12,4/3/2019,885.73
9,12,9/9/2020,110.91
23,13,9/22/2019,2492.32
5,13,8/25/2019,1189.69
26,13,1/17/2020,1998.12
15,13,5/2/2020,117.81
25,13,4/24/2020,2316.46
32,13,6/1/2019,1649.25
42,13,12/21/2020,1678.35
41,13,1/10/2018,1523.89
31,13,3/14/2018,1104.07
12,14,6/2/2019,1432.9
35,14,10/3/2018,2479.43
25,14,8/28/2018,1963.12
48,14,8/25/2018,739.24
6,14,8/27/2020,1320.82
6,14,3/18/2019,383.37
20,14,2/2/2019,1438.3
39,14,3/6/2019,1514.28
28,14,3/9/2018,1884.22
42,14,10/19/2020,1420.51
34,14,8/27/2020,321.53
5,14,5/25/2019,2293.97
23,14,12/5/2020,427.93
35,14,12/6/2020,1336.04
25,14,6/28/2018,1309.2
38,14,2/15/2020,339.56
46,14,8/17/2018,590.43
43,15,1/7/2018,2308.67
18,15,12/11/2019,1907.98
46,15,9/9/2018,487.52
29,15,7/11/2020,921.13
49,15,10/12/2018,113.51
16,15,7/31/2019,1474.21
46,15,1/13/2020,306.42
48,15,7/13/2020,2215.76
8,15,12/13/2018,501.6
17,15,3/30/2018,1245.95
37,15,4/27/2019,1996.41
30,15,4/8/2018,947.45
35,16,4/10/2019,1346.55
27,16,5/12/2019,540.8
36,16,5/17/2020,940.69
50,16,8/12/2018,1381.07
19,16,8/3/2019,548.24
41,16,10/10/2020,934.64
12,16,3/13/2020,423.34
48,16,1/5/2018,2197.91
50,16,3/5/2020,681.24
28,16,10/13/2020,186.66
9,16,5/7/2019,1552.94
2,16,12/15/2018,201.59
26,16,7/2/2020,1548.13
19,16,7/22/2020,2036.36
12,16,10/24/2018,2405.17
17,16,7/9/2018,687.16
2,16,12/25/2020,1828.54
50,16,6/18/2018,467.99
22,16,12/14/2018,1284.3
42,17,10/29/2018,2126.87
29,17,8/16/2019,2322.22
15,17,7/4/2020,2475.44
11,17,2/10/2021,1132.44
6,17,12/13/2020,1487.44
38,17,3/5/2019,241.74
20,17,3/30/2019,2065
41,17,10/12/2020,228.36
41,17,7/8/2018,930.74
12,17,2/28/2018,1793.3
12,17,9/11/2020,2040.29
22,17,4/14/2018,1024.84
23,17,2/19/2019,2116.21
45,17,9/24/2018,2381.23
30,17,8/11/2019,631.12
23,17,4/13/2019,776.48
29,17,8/4/2018,893.77
9,17,6/9/2018,1839.1
24,18,2/16/2020,318.98
18,18,4/12/2019,1862.42
5,18,2/25/2019,2347.52
34,18,2/13/2018,1218.72
46,18,1/22/2019,616.02
47,18,2/9/2020,1698.97
20,18,3/11/2020,2085.59
50,18,12/30/2018,2184.02
40,18,11/5/2018,2459.32
9,18,1/14/2021,1244.82
48,18,10/19/2018,1392.82
44,18,1/27/2020,157.27
34,18,9/10/2020,742.51
27,18,2/28/2020,1671.08
7,18,7/7/2019,1261.85
36,18,5/14/2018,2173
27,19,1/2/2021,500.01
34,19,6/7/2019,252.79
23,19,5/28/2018,198.85
17,19,1/27/2020,1764.83
47,19,4/13/2018,883.42
35,19,6/25/2020,619.65
49,19,4/17/2020,2054.27
32,19,1/12/2021,1859.83
19,20,10/16/2018,1905.8
19,20,6/17/2019,997.88
25,20,5/3/2019,1104.52
13,20,12/15/2019,1520.43
11,20,11/16/2019,374.05
14,20,1/21/2018,534.06
39,20,11/8/2019,2109.29
22,20,3/9/2019,356.46
48,20,11/5/2020,1291.46
16,20,7/7/2018,363.95
6,20,12/8/2018,274.02
1,20,1/6/2019,1594.4
32,20,1/27/2018,1713.46
25,20,8/19/2019,1460.26
7,20,9/3/2018,69.54
18,20,12/28/2020,667.64
4,20,1/22/2020,1303.85
37,21,4/23/2020,1802.21
41,21,8/17/2020,1657.33
24,21,1/2/2021,1995.78
3,21,9/15/2020,1645.88
17,21,4/19/2019,1014.41
45,21,11/16/2018,1960.93
39,21,10/17/2019,1227.87
25,21,1/26/2018,1130.88
5,21,1/13/2020,245.68
2,21,2/9/2020,1039.02
8,21,1/6/2021,1982.94
13,21,3/31/2018,1223.87
49,21,4/4/2020,2124.33
