order.id,order.line,order.date,customer.id,product.id,quantity
70,1,3/28/2011,1,74,1
70,2,3/28/2011,1,72,1
70,3,3/28/2011,1,27,1
70,4,3/28/2011,1,59,7
70,5,3/28/2011,1,91,1
70,6,3/28/2011,1,93,1
70,7,3/28/2011,1,60,1
70,8,3/28/2011,1,62,1
70,9,3/28/2011,1,83,1
72,1,4/1/2011,1,4,1
72,2,4/1/2011,1,39,1
143,1,5/25/2011,1,88,1
179,1,6/29/2011,1,27,1
179,2,6/29/2011,1,38,1
179,3,6/29/2011,1,12,4
227,1,8/17/2011,1,12,3
342,1,2/1/2012,1,57,1
342,2,2/1/2012,1,9,1
342,3,2/1/2012,1,49,2
421,1,4/12/2012,1,40,1
421,2,4/12/2012,1,59,1
421,3,4/12/2012,1,94,1
421,4,4/12/2012,1,60,2
421,5,4/12/2012,1,93,1
421,6,4/12/2012,1,12,1
421,7,4/12/2012,1,2,1
421,8,4/12/2012,1,25,1
421,9,4/12/2012,1,62,1
421,10,4/12/2012,1,83,1
421,11,4/12/2012,1,63,1
421,12,4/12/2012,1,54,1
421,13,4/12/2012,1,48,1
421,14,4/12/2012,1,86,1
421,15,4/12/2012,1,90,1
421,16,4/12/2012,1,55,1
421,17,4/12/2012,1,56,1
421,18,4/12/2012,1,7,1
421,19,4/12/2012,1,79,1
421,20,4/12/2012,1,77,1
525,1,7/13/2012,1,25,1
629,1,11/8/2012,1,62,2
629,2,11/8/2012,1,67,1
686,1,1/24/2013,1,62,1
686,2,1/24/2013,1,60,1
686,3,1/24/2013,1,58,1
686,4,1/24/2013,1,48,1
686,5,1/24/2013,1,73,1
686,6,1/24/2013,1,7,3
686,7,1/24/2013,1,5,1
686,8,1/24/2013,1,92,1
686,9,1/24/2013,1,82,1
686,10,1/24/2013,1,56,1
778,1,4/12/2013,1,44,1
778,2,4/12/2013,1,59,1
817,1,5/7/2013,1,80,1
817,2,5/7/2013,1,51,1
817,3,5/7/2013,1,87,1
817,4,5/7/2013,1,82,1
817,5,5/7/2013,1,74,1
817,6,5/7/2013,1,26,1
817,7,5/7/2013,1,93,1
817,8,5/7/2013,1,43,1
817,9,5/7/2013,1,90,1
817,10,5/7/2013,1,58,1
817,11,5/7/2013,1,13,1
817,12,5/7/2013,1,75,2
817,13,5/7/2013,1,62,1
817,14,5/7/2013,1,5,1
847,1,5/21/2013,1,1,1
847,2,5/21/2013,1,90,1
847,3,5/21/2013,1,23,1
